study_id	biofeature_string	biofeature_code	biofeature_ontology_term	label	tissue_label	condition_label	old_study_id	old_bio_feature_code
CEDAR	neutrophil_CD15	NEUTROPHIL_CD15	CL_0000775	neutrophil	neutrophil	naive	CEDAR	NEUTROPHIL_CD15
CEDAR	platelet	PLATELET	CL_0000233	platelet	platelet	naive	CEDAR	PLATELET
CEDAR	rectum	RECTUM	UBERON_0001052	rectum	rectum	naive	CEDAR	RECTUM
CEDAR	T-cell_CD4	T-CELL_CD4	CL_0000624	CD4+ T cell	CD4+ T cell	naive	CEDAR	T_CELL_CD4
CEDAR	T-cell_CD8	T-CELL_CD8	CL_0000625	CD8+ T cell	CD8+ T cell	naive	CEDAR	T_CELL_CD8
CEDAR	transverse_colon	TRANSVERSE_COLON	UBERON_0001157	transverse colon	transverse colon	naive	CEDAR	TRANSVERSE_COLON
CommonMind	DLPFC_naive	DLPFC_NAIVE	UBERON_0009834	brain (DLPFC)	brain (DLPFC)	naive		
eQTLGen	UBERON_0000178	UBERON_0000178	UBERON_0000178	Blood	Blood	naive	eQTLGen	UBERON_0000178
Fairfax_2012	B-cell_CD19	B-CELL_CD19	CL_0000236	B cell	B cell	naive	FAIRFAX_2012	B_CELL_CD19
Fairfax_2014	monocyte_IFN24	MONOCYTE_IFN24	CL_0002057	monocyte IFNg 24h	monocyte	IFNg_24h	FAIRFAX_2014	MONOCYTE_IFN24
Fairfax_2014	monocyte_LPS2	MONOCYTE_LPS2	CL_0002057	monocyte LPS 2h	monocyte	LPS_2h	FAIRFAX_2014	MONOCYTE_LPS2
Fairfax_2014	monocyte_LPS24	MONOCYTE_LPS24	CL_0002057	monocyte LPS 24h	monocyte	LPS_24h	FAIRFAX_2014	MONOCYTE_LPS24
Fairfax_2014	monocyte_naive	MONOCYTE_NAIVE	CL_0002057	monocyte	monocyte	naive	FAIRFAX_2014	MONOCYTE_NAIVE
FUSION	adipose_naive	ADIPOSE_NAIVE	UBERON_0001013	adipose	adipose	naive		
FUSION	muscle_naive	MUSCLE_NAIVE	UBERON_0001134	muscle	muscle	naive		
GENCORD	fibroblast	FIBROBLAST	CL_0000057	fibroblast	fibroblast	naive	GENCORD	FIBROBLAST
GENCORD	LCL	LCL	EFO_0005292	LCL	LCL	naive	GENCORD	LCL
GENCORD	T-cell	T-CELL	CL_0000084	T cell	T cell	naive	GENCORD	T_CELL
GEUVADIS	LCL	LCL	EFO_0005292	LCL	LCL	naive	GEUVADIS	LCL
GTEx-eQTL	adipose_subcutaneous	ADIPOSE_SUBCUTANEOUS	UBERON_0001013	adipose	adipose	naive	GTEX_v7	UBERON_0002190
GTEx-eQTL	adipose_visceral	ADIPOSE_VISCERAL	UBERON_0010414	adipose (visceral)	adipose (visceral)	naive	GTEX_v7	UBERON_0014454
GTEx-eQTL	adrenal_gland	ADRENAL_GLAND	UBERON_0002369	adrenal gland	adrenal gland	naive	GTEX_v7	UBERON_0002369
GTEx-eQTL	artery_aorta	ARTERY_AORTA	UBERON_0001496	artery (aorta)	artery (aorta)	naive	GTEX_v7	UBERON_0000947
GTEx-eQTL	artery_coronary	ARTERY_CORONARY	UBERON_0001621	artery (coronary)	artery (coronary)	naive	GTEX_v7	UBERON_0001621
GTEx-eQTL	artery_tibial	ARTERY_TIBIAL	UBERON_0007610	artery (tibial)	artery (tibial)	naive	GTEX_v7	UBERON_0007610
GTEx-eQTL	blood	BLOOD	UBERON_0000178	blood	blood	naive	GTEX_v7	UBERON_0000178
GTEx-eQTL	brain_amygdala	BRAIN_AMYGDALA	UBERON_0001876	brain (amygdala)	brain (amygdala)	naive	GTEX_v7	UBERON_0001876
GTEx-eQTL	brain_anterior_cingulate_cortex	BRAIN_ANTERIOR_CINGULATE_CORTEX	UBERON_0009835	brain (anterior cingulate cortex)	brain (anterior cingulate cortex)	naive	GTEX_v7	UBERON_0009835
GTEx-eQTL	brain_caudate	BRAIN_CAUDATE	UBERON_0001873	brain (caudate)	brain (caudate)	naive	GTEX_v7	UBERON_0001873
GTEx-eQTL	brain_cerebellar_hemisphere	BRAIN_CEREBELLAR_HEMISPHERE	UBERON_0002037	brain (cerebellum)	brain (cerebellum)	naive	GTEX_v7	UBERON_0002037
GTEx-eQTL	brain_cerebellum	BRAIN_CEREBELLUM	UBERON_0002037	brain (cerebellum)	brain (cerebellum)	naive	GTEX_v7	UBERON_0002037
GTEx-eQTL	brain_cortex	BRAIN_CORTEX	UBERON_0001870	brain (cortex)	brain (cortex)	naive	GTEX_v7	UBERON_0001870
GTEx-eQTL	brain_frontal_cortex	BRAIN_FRONTAL_CORTEX	UBERON_0009834	brain (DLPFC)	brain (DLPFC)	naive	GTEX_v7	UBERON_0001870
GTEx-eQTL	brain_hippocampus	BRAIN_HIPPOCAMPUS	UBERON_0001954	brain (hippocampus)	brain (hippocampus)	naive	GTEX_v7	UBERON_0002421
GTEx-eQTL	brain_hypothalamus	BRAIN_HYPOTHALAMUS	UBERON_0001898	brain (hypothalamus)	brain (hypothalamus)	naive	GTEX_v7	UBERON_0001898
GTEx-eQTL	brain_nucleus_accumbens	BRAIN_NUCLEUS_ACCUMBENS	UBERON_0001882	brain (nucleus accumbens)	brain (nucleus accumbens)	naive	GTEX_v7	UBERON_0001882
GTEx-eQTL	brain_putamen	BRAIN_PUTAMEN	UBERON_0001874	brain (putamen)	brain (putamen)	naive	GTEX_v7	UBERON_0001874
GTEx-eQTL	brain_spinal_cord	BRAIN_SPINAL_CORD	UBERON_0006469	brain (spinal cord)	brain (spinal cord)	naive	GTEX_v7	UBERON_0002726
GTEx-eQTL	brain_substantia_nigra	BRAIN_SUBSTANTIA_NIGRA	UBERON_0002038	brain (substantia nigra)	brain (substantia nigra)	naive	GTEX_v7	UBERON_0002038
GTEx-eQTL	breast	BREAST	UBERON_0008367	breast	breast	naive	GTEX_v7	UBERON_0003584
GTEx-eQTL	colon_sigmoid	COLON_SIGMOID	UBERON_0001159	sigmoid colon	sigmoid colon	naive	GTEX_v7	UBERON_0001159
GTEx-eQTL	colon_transverse	COLON_TRANSVERSE	UBERON_0001157	transverse colon	transverse colon	naive	GTEX_v7	UBERON_0001157
GTEx-eQTL	esophagus_gej	ESOPHAGUS_GEJ	UBERON_0004550	esophagus (gej)	esophagus (gej)	naive	GTEX_v7	UBERON_0007650
GTEx-eQTL	esophagus_mucosa	ESOPHAGUS_MUCOSA	UBERON_0006920	esophagus (mucosa)	esophagus (mucosa)	naive	GTEX_v7	UBERON_0002469
GTEx-eQTL	esophagus_muscularis	ESOPHAGUS_MUSCULARIS	UBERON_0004648	esophagus (muscularis)	esophagus (muscularis)	naive	GTEX_v7	UBERON_0011878
GTEx-eQTL	fibroblast	FIBROBLAST	CL_0000057	fibroblast	fibroblast	naive	GTEX_v7	CLO_0000161
GTEx-eQTL	heart_atrial_appendage	HEART_ATRIAL_APPENDAGE	UBERON_0006631	heart (atrial appendage)	heart (atrial appendage)	naive	GTEX_v7	UBERON_0006618
GTEx-eQTL	heart_left_ventricle	HEART_LEFT_VENTRICLE	UBERON_0006566	heart (left ventricle)	heart (left ventricle)	naive	GTEX_v7	UBERON_0002084
GTEx-eQTL	kidney_cortex	KIDNEY_CORTEX	UBERON_0001225	kidney (cortex)	kidney (cortex)	naive		
GTEx-eQTL	LCL	LCL	EFO_0005292	LCL	LCL	naive	GTEX_v7	CLO_0000468
GTEx-eQTL	liver	LIVER	UBERON_0001114	liver	liver	naive	GTEX_v7	UBERON_0002107
GTEx-eQTL	lung	LUNG	UBERON_0008952	lung	lung	naive	GTEX_v7	UBERON_0002048
GTEx-eQTL	minor_salivary_gland	MINOR_SALIVARY_GLAND	UBERON_0006330	minor salivary gland	minor salivary gland	naive	GTEX_v7	UBERON_0001830
GTEx-eQTL	muscle	MUSCLE	UBERON_0001134	muscle	muscle	naive	GTEX_v7	UBERON_0001134
GTEx-eQTL	nerve_tibial	NERVE_TIBIAL	UBERON_0001323	tibial nerve	tibial nerve	naive	GTEX_v7	UBERON_0001323
GTEx-eQTL	ovary	OVARY	UBERON_0000992	ovary	ovary	naive	GTEX_v7	UBERON_0000992
GTEx-eQTL	pancreas	PANCREAS	UBERON_0001150	pancreas	pancreas	naive	GTEX_v7	UBERON_0001264
GTEx-eQTL	pituitary	PITUITARY	UBERON_0000007	pituitary	pituitary	naive	GTEX_v7	UBERON_0000007
GTEx-eQTL	prostate	PROSTATE	UBERON_0002367	prostate	prostate	naive	GTEX_v7	UBERON_0002367
GTEx-eQTL	skin_not_sun_exposed	SKIN_NOT_SUN_EXPOSED	UBERON_0036149	skin (suprapubic)	skin (suprapubic)	naive	GTEX_v7	UBERON_0036149
GTEx-eQTL	skin_sun_exposed	SKIN_SUN_EXPOSED	UBERON_0002097	skin	skin	naive	GTEX_v7	UBERON_0004264
GTEx-eQTL	small_intestine	SMALL_INTESTINE	UBERON_0001211	small intestine	small intestine	naive	GTEX_v7	UBERON_0002116
GTEx-eQTL	spleen	SPLEEN	UBERON_0002106	spleen	spleen	naive	GTEX_v7	UBERON_0002106
GTEx-eQTL	stomach	STOMACH	UBERON_0000945	stomach	stomach	naive	GTEX_v7	UBERON_0000945
GTEx-eQTL	testis	TESTIS	UBERON_0000473	testis	testis	naive	GTEX_v7	UBERON_0000473
